APP SHA,Install,Native Run,Virtualized Run
C65C369064F03B4065E47D620A4504C506328C53C2E30281C08E1C34A805E6E9,installed,working,working
E9204EC43A7ECB9C776387073F181C7071AD5E5C167C97674672084D705D7051,installed,working,working
8238DCD4A06E06E2F3B55DC959F331A142EFF23DE58776E1FD5AF608E73ACF0D,installed,working,working
A6DE0786AF16FA0FCD3F7CA2160DB50BD3AE7A349FE3232934AB2A3D25B36FC3,installed,working,working
341835659C38427C4E762AF175071B0C5284C15F6C24434E93DC98354391C492,installed,main activity error,error
006E65561696FA2ACDEAC25A0A0982C3A8444362EE980A6F90812D0A09B3B50A,installed,working,working
221953B6304D029E863B74A253AC64D99E487243E5E219740522503BF20A73F4,installed,working,working
7B6D1DD5646EDDEEB78CF06F654951D1E5F3BC9A78DDCA928217B402EC7F4754,installed,error,error
38D348BEDC670BFA008E81654000164B49BCA1F3D70AAAD0CE5504250375FF46,installed,working,working
005F241D78004D1FA0F200122F974AEB79AFAC257302FF5CE98CF07C12FB6174,installed,working,working
0F1C097B3B882EFFB3A67ABA351A9072248035C2E0087DFE799750DCB694D627,installed,main activity error,working
ECE026A47C46F0980D92BA81782FDB69A720358241BF812D14AA748A461BCF13,installed,working,working
2DFF35C0670E81786D615F86DAE156D7F1449791877BE8182B85ED8E35C73D8F,installed,error,error
70891302249F1AB73B7455B2A3FDBC7255AB4779D5CFCC5CA9F67FB01A79524E,installed,working,working
4F63B626A994AC12237F5D36B979174F65FD64F40D26E85CBDCB2C3B74E32756,installed,error,error
CA07CA791265A4253B29D871C67F057B10A6F4CE3F287DC74AA9F4A355CC3D8A,installed,main activity error,working
5C191A84486231D3D6A5761B2DDF976C16B3E43B269449B62598E66FB1746055,installed,working,working
C63E723DBF67510013B774AADD5CAF45AA986059D9265807287E11C777AD0B49,installed,working,working
D7CA9B3A5447CF1977620EDF214C8E899CCF987EE8385ACB874819E4F31A211D,installed,working,working
48328F24918D522139A6850D30D8BDA9E74E073593AC66ABB2B67DDA3359BA01,installed,working,working
D480351F48A6D61A0DB728BDA2CC74DE843BEBA6CE10717E69D2731AC403C6DF,installed,error,error
B1106455D645EC4F2AD38D47C7A3E8A7AE345C0D29313AD48DDAE7436F7A2BE4,installed,main activity error,error
B934D44387D99741D869F55F492CF7E75434BEDA374230C2C59D90D00C8AD877,installed,working,working
D4D7AB796E4BB4F9CC6032E726542A15D9327D259038EA8CF852090FFBDD4A3B,not installed,error,error
58C78D703250A0AA1E53030D17006721BF0C6737B213D961EA6DFE631CAADF64,installed,main activity error,error
7C56FD8F1ED3C4B085E85BB70E4E523248EBC4AE2CFCB42E0A4546039ACCD054,installed,error,error
214A1B10D7A1653AAFA5F26D3F598A42F1BE9A2ACFBF1368D754111E5C0FCD20,installed,working,working
7BB718554371403FBE29485744D5F87548D7B84A56C987C91B967160B896CB45,installed,working,working
6407F62F97BD66F0C4C391FEFA9F55D6C8A76B2448F390E5DE4850BBBCF3257C,installed,error,error
159D3A77E9A8D64FC959A8C6E756F946ECFE37F1C9059919B25F415E450584A5,installed,error,error
3A352423517A54D360176B5D72F3F3E45873B43B399AC32F54016A49120F0D2B,installed,working,working
4EB7C2E4FB7CE84759C2F8AF0C8517A4B0C521FF37F536433B91F56DC7DF2D9F,installed,error,error
CAC87D69AD7A0AD44A370FE82F1544750D2526583A23F61B868F9A0BCE9568AC,installed,working,working
