App sha, Outcome
DD22A155C3A7166C6BABB39C03DC0AA77DACAE67AB4267D764DFB880034C4B29, could not find native library
B9918F7351317E4AF49BA86CF9D93BAE7875D895252CE57A283F6A580BD16FED, 2accounts error
03BAA195FA505495F5581466B4567AB538F8CC902D0558801C1D6B049722E2D1, 2accounts error
66C8AFC4E77782B7F9F7C02C2F48315A11D5513D466D653705FD50053D1C6AB4, runtime exception caused by android views
AA3F9D309EB04DE622667882771080AE6B26AE8BB495935276047DE0105AE7AF, error with xml files for graphics
C2996074B850042902E2993548366318234C0705903F4E3D155A664A08A1A2A3, 2accounts error
C5C993C6F479DA7F6C053CD31134A9C1C36D25775ADEE20B168E300ED13E0CCB, could not find native library
1CF439548B8E0127FBD1909E6A9F50D65B20835A02B6893262F5175E0179C2C5, 2accounts error
688518764642A23932C6926E1A6B7B9C550AF5BDDD72F62DA0392573E6B521DD, appcompatviewinflater class not found exception
58FB445DE61CACA98F13B5AEEBC7EFC4209641916D4E3ED02B32BA69E67FDF1A, internal file not found
D028C1ECDDF0C5975E56D7B248F821C5C6B4280261E6094362AB870EE6978A18, error with xml files for graphics
5D5A90FF4AB0EFB8BDBF9BBCBDE88A01DCC13FF348A047045C95C0336D933DD5, error with missing reference
321991429F1FA9185BD2637439FB56DEEDDEBC0B56568549F52629E521A5AEA1, error with xml files for graphics
392B55D9BB587F806B9E4C57AFA247A62A604B8459C06169461260E39B5C9C42, stringsoutofbound exception related to ads
BB73B81CE9B36530BA3A0D4C11FC7FB27AA65C4D6F3580B657123C3CF61FAC80, firebase error class not found
A7455A391D40579ED13097C6407BAFF7D8340ABB7AF388BD32226D9F516D1DA6, stringsoutofbound exception related to ads
9E96D4915477F24F3F6D091F51C447D73E9C5D389A22B8E2A3D5A3827C515727, stringsoutofbound exception related to ads
453C33A458AEBBA0F2A3070EF1BF3C156A072E3C8F35007DD02CB953BABD8372, internal file not found
B79C4D65D6A499B9D5C094EE9CDF455AFECFFFF1540E46EA2CF606F8D1D6137B, 2accounts native library error
1B293CBE23935CE7F64DAB654912629C417DACDAA90586AC1987973D7E169DD3, error with xml files for graphics
D61B89CBC373FBFAB5AA6E7741B3E6E3D62200A7A49EA6BF92CD90C496F3F589, 2accounts native library error
E2F10D55BC4179867CA7F1F14B6D37066115E9C9E23B2F8C5860A190C065B800, internal file not found
3F3EC7B77FA8A19F5F796A293508A421C7A0C494C38E31F22F5324223B8562BA, error with xml files for graphics
28B89BDEAB66C94B39107EC3B68327B90CD79F8BA6E40B9F5B3CB656C9149371, firebase initialization error
007DE7F3B1840844CD6C6F1C798D30C08352CF1037DE0CCFC2304CC82B7AD4FD, stringsoutofbound exception related to ads
0C27D420CA28268D29BC072AAB2370A80F6BC7C0680D8DAA2E3209E408C636B2, stringsoutofbound exception related to ads
0C2D2888C2545579EBBB54BBABC39219987271C639E9315A69586DD00C58A9CB, String index out of bounds
F10110CB25E60CFB76A0827EA620CD5110B1D0E0A4C50099948D7DF824220533, String index out of bounds
09B125CAAE566847AE9EB006381EF04BA9B855E17F16D94F06E633CE6699C929, File not found: /dev/hw_random (Permission denied)
D8FCF5753DA0FC6A151997C37DBC67FEB6EAC45035A6012BBD2051688F6BDB68, File not found: default_video/man
6B11A5CA37787D5E90F68C245056F99DA8FD64339F3AEF9BDBFE58995520DB50, Calling uid 10143 but own is uid 10983
36E3649B9BCD972A502151BD0626E5A32034023FAD6EB8E9D39ECC0ADC2423B1, package under uid 10143 but it is really 1080
77BD4E86AF00185AAE92F3D6B7904FBD6D202F4E93D9D54BDE5262F70D9BB4CD, an ads says "you're using app incorrectly. download it from app store"
B6412BE08349282ED98580826A48320CC1DF2BEE4D58CD5AAC18E7EF6A959C36, Unable to resolve host
CB0AC314809AEEF0DB8A7C6C5C45339074844FEEB2903659CD22377CAA71B4B2, Unable to find a class
CD0A45984907F5966FFD9EB6A02EDC8A8B91730F21F17DE658F3D6597C299E0A, Unable to find a class
9934C824D28EA0D4CB0138D9913AA0846E2AE0F7528EF208ED48AC6FE074AC63, Null pointer exception: attempt to invoke virtual method 'android.content.Context android.app.Application.getApplicationContext()'
D3294F9F209DBF3C72842617809690FA907DB2F168A8FA314C01F33DE368C3A3, JSONException: End of input at character 0 of
