Name,VAScore,AssetsAPK,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,Framework
AlightMotion_v4.2.3_apkpure.com.apk,0,0,0,0,11,57,90,1,0
AmazonPrimeVideo_v3.0.331.12857_apkpure.com.apk,0,0,0,0,39,78,136,0,0
AmazonShopping_v24.16.0.100_apkpure.com.apk,0,0,0,0,60,116,177,4,0
AndroidAuto_Apkpure.apk,0,0,0,0,58,60,183,8,0
ApexLauncherCustomizeSecureandEfficient_v4.9.20_apkpure.com.apk,0,0,0,0,41,64,99,2,0
CapCutVideoEditor_v6.6.0_apkpure.com.apk,0,0,0,0,38,137,189,4,0
DataRestoreTool_v1.0.469423054_apkpure.com.apk,0,0,0,0,35,16,48,3,0
FacebookLite_v319.0.0.7.107_apkpure.com.apk,0,0,0,0,55,31,90,3,0
Facebook_v382.0.0.35.111_apkpure.com.apk,1,0,0,0,67,792,1030,15,0
FileManager_v3.0.7_apkpure.com.apk,0,0,0,0,20,28,54,0,0
FirefoxFastPrivateBrowser_v104.1.0_apkpure.com.apk,4,0,20,20,21,21,98,50,0
Gmail_v2022.08.21.471100189.Release_apkpure.com.apk,0,0,0,0,83,133,270,5,0
GoogleCamera_v8.6.263.471358013.15_apkpure.com.apk,0,0,0,0,26,22,63,5,0
GoogleEarth_Apkpure.apk,0,0,0,0,9,9,24,2,0
GoogleMaps_Apkpure.apk,1,0,0,0,45,86,187,11,0
GooglePhotos_v6.5.0.471088048_apkpure.com.apk,0,0,0,0,43,194,303,6,0
SHAREitTransferShareFiles_Apkpure.apk,0,0,0,0,37,89,135,3,0
Skype_v8.87.0.406_apkpure.com.apk,0,0,0,0,55,10,45,1,0
Snapchat_v11.94.0.30Beta_apkpure.com.apk,0,0,0,0,53,59,110,3,0
Snaptube_v6.11.0.6115710_apkpure.com.apk,1,0,1,1,34,464,544,11,0
SoundCloudPlayMusicSongs_v2022.08.29-release_apkpure.com.apk,0,0,0,0,19,69,124,1,0
SuperVPNFastVPNClient_v2.7.7_apkpure.com.apk,0,0,0,0,14,23,48,0,0
Telegram_v8.9.3_apkpure.com.apk,0,0,0,0,57,21,69,0,0
TikTok_v26.0.3_apkpure.com.apk,0,0,0,0,71,303,401,5,0
TruecallerCallerIDBlock_v12.41.7_apkpure.com.apk,0,0,0,0,78,225,358,1,0
TwitchLiveGameStreaming_v13.5.0_BETA_apkpure.com.apk,0,0,0,0,15,28,74,1,0
Twitter_v9.57.0-release.1_apkpure.com.apk,0,0,0,0,50,389,434,1,0
VidMateHDVideoDownloaderLiveTV_v5.0339_apkpure.com.apk,2,1,0,0,27,39,67,5,0
VLCforAndroid_v3.5.1_apkpure.com.apk,0,0,0,0,18,34,47,1,0
WazeNavigationLiveTraffic_v4.86.1.0_apkpure.com.apk,0,0,0,0,36,134,179,0,0
WhatsAppBusiness_v2.22.19.17_apkpure.com.apk,0,0,0,0,62,417,488,0,0
WhatsAppMessenger_v2.22.19.19_apkpure.com.apk,0,0,0,0,63,352,425,0,0
YouTubeGo_v3.25.54_apkpure.com.apk,0,0,0,0,22,44,82,2,0
YouTube_v17.35.34_apkpure.com.apk,0,0,0,0,39,68,127,5,0
ZArchiver_v1.0.4_apkpure.com.apk,0,0,0,0,11,7,9,2,0
GoogleTranslate_v6.44.0.469709044.2-release_apkpure.com.apk,0,0,0,0,19,28,65,3,0
HBOMaxStreamTVMovies_v52.25.0.33_apkpure.com.apk,0,0,0,0,8,9,29,0,0
Instagram_v250.0.0.21.109_apkpure.com.apk,0,0,0,0,46,225,349,8,0
MessengerLite_v318.0.0.7.105_apkpure.com.apk,0,0,0,0,41,32,89,1,0
Messenger_v376.1.0.25.106_apkpure.com.apk,1,0,0,0,71,404,601,10,0
MicrosoftOfficeEditShare_v16.0.15601.20060_apkpure.com.apk,1,0,0,0,38,80,167,18,0
MicrosoftOneDrive_v6.64_apkpure.com.apk,0,0,0,0,29,201,288,1,0
MicrosoftStartNews_more_Apkpure.apk,0,0,0,0,39,84,145,5,0
MicrosoftTeams_v1416_1.0.0.2022371501_apkpure.com.apk,0,0,0,0,51,275,356,1,0
MicrosoftWordEditDocuments_v16.0.15601.20052_apkpure.com.apk,0,0,0,0,27,36,80,1,0
MXPlayer_v1.47.9_apkpure.com.apk,0,0,0,0,28,227,286,4,0
Netflix_v8.39.0build950265_apkpure.com.apk,0,0,0,0,17,96,142,1,0
PhonebyGoogle_v88.0.471021219-go_apkpure.com.apk,0,0,0,0,80,54,125,4,0
GooglePlayStore_v32.1.12-21470347918_apkpure.com.apk,0,0,0,0,119,107,239,5,0
SamsungSmartSwitchMobile_v9.5.03.0_apkpure.com.apk,0,0,0,0,116,52,72,1,0
