Name,Error,VAScore,AssetsApk,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,SpawnApk,SpawnProcesses,SameCertificates,StubIntent,#Packages,UnknownIntent,CombinedIntentAnalysis
a.byxiaolengyanjun.wechattoolbox.hacker.apk,0,4,0,101,51,156,116,130,53,0,1,1,0,1,0,0
a.mhzy.ldcjzj.mms.apk,crashed,6,1,72,8,19,76,86,9,1,0,0,0,1,0,0
abc.apple.emoji.theme.gif.keyboard.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abs.workout.fitness.tabata.hiit.stomach.apk,crashed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AbV.SkOn.CP.hhyS.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adaan.Gk.apk,crashed,4,0,40,20,47,52,70,25,1,1,0,0,1,0,0
ai.ouykjg.hsn.apk,0,4,0,128,8,112,240,255,9,0,1,1,0,2,0,0
air.br.com.mauroluz.Pickaxe.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
air.com.app.burymybones91193.apk,crashed,6,1,72,8,15,77,87,9,0,0,1,0,1,0,0
air.com.coolbuddy.escapefromthecatacombs.apk,crashed,6,1,72,8,15,75,85,9,0,0,1,0,1,0,0
air.com.gerwinsoftware.quizpanic.apk,crashed,6,1,72,8,23,91,110,9,1,0,0,0,1,0,0
air.com.gplus.BumperCar.apk,0,6,1,72,8,17,78,92,10,0,0,1,0,1,0,0
air.com.mafa.NuannuanJapaneseStyleDressUp.apk,crashed,3,0,73,6,17,78,91,7,0,0,1,0,1,0,0
air.com.RustyLake.CubeEscapeTheatre.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.purplebeard.AlienPlanetRacing.apk,crashed,6,1,72,8,16,77,89,9,0,0,1,0,1,0,0
com.Pydin.WackyWay.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.pywl.angua.movie.apk,0,6,1,91,50,189,115,125,52,0,1,1,0,1,0,0
com.q980026545.gad.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.qbaobei.meite.channel_kingroot_4.apk,crashed,6,1,101,51,187,131,150,54,0,1,1,0,1,0,0
com.qbaobei.meite.channel_qyyqqsljfwd_4.apk,crashed,6,1,101,51,187,131,150,54,0,1,1,0,1,0,0
com.qbmfkdxs.reader.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.qdwy.wykj.apk,0,4,0,299,100,157,226,332,102,0,1,1,0,1,0,0
com.qgwapp.android.apk,0,4,0,101,51,188,142,160,55,0,0,1,0,1,0,0
com.qgwapp.shadowside.apk,0,4,0,101,51,188,141,157,55,0,0,1,0,1,0,0
com.qhbwaiguatools.shenqiautogua.apk,0,4,0,101,51,186,130,138,52,0,0,1,0,1,0,0
com.qhhd.baoshigame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qhshow.jddexqts.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qhshow1.dwmw.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.qihoo.antivirus.apk,0,3,1,0,0,56,149,181,14,0,1,1,0,1,0,0
com.qihoo.appstore.apk,0,6,1,128,8,125,422,498,12,1,1,0,0,1,0,0
com.qihoo.appstore.bookstore.apk,0,3,1,0,0,32,235,246,20,0,0,1,0,1,0,0
com.qihoo.browser.apk,0,6,1,65,1,112,215,306,13,1,1,0,0,1,0,0
com.qihoo.magic_mutiple.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.qihoo.secstore.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.qihoo.video.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.qihoo360.mobilesafe.opti.powerctl.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.qihoo360.transfer.apk,cannot_install,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.qipeiwang.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.qiwigames.ablesgame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qjcage.mengscq.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qlfsoft.game.checksinogramnut.apk,crashed,6,1,72,8,17,84,100,9,1,0,0,0,1,0,0
com.qmdllk.qiaomiaodelianliankan.apk,crashed,6,1,72,8,18,78,91,9,0,0,1,0,1,0,0
com.qmhygame.wzpsz.uc.apk,0,6,1,20,5,39,43,109,12,0,1,1,0,1,0,0
com.wyfc.itingtxt.apk,0,4,0,16,16,24,181,221,18,0,1,1,0,1,0,0
com.wyniumao.com.apk,crashed,4,0,72,8,36,114,135,10,0,0,1,0,1,0,0
com.X0YZAA7O6M.apk,0,4,0,101,51,187,108,116,52,0,0,1,0,1,0,0
com.xcbgdq12.mjkk12.apk,0,6,1,151,51,188,162,174,54,0,1,1,0,2,0,0
com.xdgames.hlzjh.uc.apk,0,6,1,20,5,27,31,93,11,0,1,1,0,1,0,0
com.xghotplay.bluedo.apk,0,4,0,101,51,11,134,142,53,1,0,0,0,1,0,0
com.xgtl.assistanu.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.xgyx.jsqp20248.game.apk,0,6,1,101,51,190,119,129,53,0,1,1,0,2,1,1
com.xhtdl.www.xhtdldny.apk,0,4,0,136,8,145,266,285,10,0,0,1,0,1,0,0
com.xiangha.cooksoupmx.va.apk,crashed,6,1,101,51,186,107,114,52,1,1,0,0,1,0,0
com.xiangyou.multispace.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.xiangyou.multispace.b64.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.xiangzi.jukandian.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.xianshanglvsenongye.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.xiaomi.video.apk,0,2,1,0,0,35,98,130,1,0,1,1,0,1,0,0
com.xiaoya.xndw.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.xibeijianzhuzhuangshixinxiwang.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.ximalaya.ting.android.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.xinglin.lwddz409550.apk,0,4,0,101,51,190,209,219,53,0,1,1,0,1,0,0
com.xinglin.lwddz478346.apk,0,4,0,36,9,16,30,59,15,0,0,1,0,1,0,0
com.xinglin.lwddz516903.apk,0,4,0,36,9,16,30,59,15,0,0,1,0,1,0,0
com.xingxi.meli.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.xinnengyuanwang.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.green.weihelper.apk,0,4,0,101,51,186,113,120,53,0,0,1,0,1,0,0
com.greenxxoo.forum.apk,crashed,6,1,72,8,20,75,90,9,1,0,0,0,1,0,0
com.gsishdhsjdjd.greyd.apk,0,6,1,100,50,177,114,124,51,0,0,1,0,1,0,0
com.gspace.android.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gtresht.t3etgg.apk,0,6,1,101,51,207,125,155,54,0,1,1,0,2,1,1
com.gttsoftgames.streetfighting.apk,crashed,6,1,72,8,16,80,95,11,0,0,1,0,1,0,0
