Name,Error,VAScore,AssetsApk,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,SpawnApk,SpawnProcesses,SameCertificates,StubIntent,#Packages,UnknownIntent,CombinedIntentAnalysis
a.byxiaolengyanjun.wechattoolbox.hacker.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
a.mhzy.ldcjzj.mms.apk,0,6,1,81,9,19,76,86,9,0,0,1,0,1,0,0
abc.apple.emoji.theme.gif.keyboard.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abs.workout.fitness.tabata.hiit.stomach.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AbV.SkOn.CP.hhyS.apk,0,4,0,101,51,186,108,113,52,1,1,0,0,2,1,1
adaan.Gk.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
ai.ouykjg.hsn.apk,0,4,0,144,9,112,240,255,9,0,1,1,0,2,0,0
air.br.com.mauroluz.Pickaxe.apk,0,6,1,81,9,17,79,90,9,0,0,1,0,1,0,0
air.com.app.burymybones91193.apk,0,6,1,81,9,15,77,87,9,1,0,0,0,1,0,0
air.com.coolbuddy.escapefromthecatacombs.apk,0,6,1,81,9,15,75,85,9,0,0,1,0,1,0,0
air.com.gerwinsoftware.quizpanic.apk,0,6,1,81,9,23,91,110,9,0,0,1,0,1,0,0
air.com.gplus.BumperCar.apk,0,6,1,81,9,17,78,92,10,0,0,1,0,1,0,0
air.com.mafa.NuannuanJapaneseStyleDressUp.apk,0,4,0,81,9,17,78,91,9,0,0,1,0,1,0,0
air.com.RustyLake.CubeEscapeTheatre.apk,0,6,1,81,9,15,76,86,9,0,0,1,0,1,0,0
com.purplebeard.AlienPlanetRacing.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.Pydin.WackyWay.apk,0,6,1,81,9,15,82,95,9,0,0,1,0,1,0,0
com.pywl.angua.movie.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.q980026545.gad.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.qbaobei.meite.channel_kingroot_4.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qbaobei.meite.channel_qyyqqsljfwd_4.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qbmfkdxs.reader.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qdwy.wykj.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qgwapp.android.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qgwapp.shadowside.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qhbwaiguatools.shenqiautogua.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qhhd.baoshigame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qhshow.jddexqts.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qhshow1.dwmw.apk,0,6,1,81,9,24,78,91,9,0,0,1,0,1,0,0
com.qihoo.antivirus.apk,0,3,1,0,0,56,149,181,14,0,1,1,0,1,0,0
com.qihoo.appstore.apk,0,6,1,144,9,125,422,498,13,1,1,0,0,1,0,0
com.qihoo.appstore.bookstore.apk,0,3,1,0,0,32,235,246,20,0,0,1,0,1,0,0
com.qihoo.browser.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qihoo.magic_mutiple.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qihoo.secstore.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qihoo.video.apk,0,6,1,153,9,150,316,339,9,1,0,0,0,1,0,0
com.qihoo360.mobilesafe.opti.powerctl.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qihoo360.transfer.apk,0,6,1,144,9,151,288,309,10,1,0,0,0,1,0,0
com.qipeiwang.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qiwigames.ablesgame.apk,0,6,1,81,9,28,81,93,9,1,0,0,0,1,0,0
com.qjcage.mengscq.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.qlfsoft.game.checksinogramnut.apk,0,6,1,81,9,17,84,100,9,0,0,1,0,1,0,0
com.qmdllk.qiaomiaodelianliankan.apk,0,6,1,81,9,18,78,91,9,0,0,1,0,1,0,0
